time,ETHUSDT,BTCUSDT,SOMIUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,AVNTUSDT,PUMPUSDT,SUIUSDT,AVAXUSDT,WLFIUSDT,PEPEUSDT,TSTUSDT,TRXUSDT,ENAUSDT,WLDUSDT,ZKCUSDT,ADAUSDT,LINEAUSDT,LINKUSDT,PENGUUSDT,LTCUSDT,MITOUSDT,OPENUSDT,AAVEUSDT,WIFUSDT,ARBUSDT,MUBARAKUSDT,UNIUSDT,BONKUSDT,DOTUSDT,RAREUSDT,NEARUSDT,SEIUSDT,XLMUSDT,FILUSDT,IMXUSDT,PROMUSDT,OGUSDT,PAXGUSDT,HOLOUSDT,ETHFIUSDT,HBARUSDT,HIFIUSDT,CRVUSDT,ONDOUSDT,EIGENUSDT,FORMUSDT,CAKEUSDT
2025-09-16 02:50 CT,-0.003274,0.003454,0.019731,0.000934,-0.001306,0.010940,0.007666,0.007039,-0.014161,0.005523,0.034600,0.014925,0.000928,-0.012732,-0.000289,0.002294,0.001333,-0.006085,0.004992,-0.031956,0.001704,0.003814,0.017816,0.061355,0.006044,-0.002997,0.010169,0.019356,0.008572,0.001746,-0.007271,0.003613,0.009311,0.022623,0.005075,0.005025,0.004576,0.101227,0.083793,0.016530,0.001918,-0.010419,0.015257,0.000809,-0.008811,-0.005140,0.011841,0.008458,0.013910,0.006127
2025-09-16 02:55 CT,-0.003720,0.003976,0.027860,0.000849,-0.000858,0.011276,0.006930,0.002228,-0.016561,0.005836,0.039009,0.015830,0.000000,-0.012004,-0.000289,0.002007,0.000667,-0.002704,0.005224,-0.031261,0.000852,0.003540,0.017461,0.064143,0.003719,-0.004883,0.007910,0.003667,0.006594,0.000545,-0.008982,0.004094,0.005587,0.021089,0.005075,0.003438,0.003328,0.096626,0.072550,0.018800,0.001439,-0.009403,0.009709,-0.000255,-0.003147,-0.005952,0.012428,0.003904,0.012177,0.006944
2025-09-16 03:00 CT,-0.002267,0.003976,0.033618,0.002717,0.002463,0.013025,0.006729,0.008999,-0.015961,0.009139,0.040027,0.018544,0.002783,-0.009458,0.000289,0.007743,0.004000,0.005183,0.007894,-0.033692,0.005113,0.006713,0.017993,0.064143,0.009066,-0.002694,0.014689,0.009576,0.010880,0.011237,-0.005133,0.007948,0.007449,0.024540,0.012052,0.005290,0.006240,0.105828,0.080611,0.026178,0.001997,-0.007624,0.020111,0.002853,-0.008811,-0.001488,0.013896,0.009109,0.010912,0.008578
2025-09-16 03:05 CT,-0.000938,0.004580,0.048946,0.005264,0.004591,0.013960,0.008972,0.008643,-0.015961,0.010989,0.046811,0.019900,0.002783,-0.009458,0.000000,0.009320,0.005333,0.015775,0.009752,-0.033345,0.007243,0.011534,0.018525,0.066932,0.007555,0.000135,0.015819,0.012225,0.014507,0.011346,-0.002139,0.013969,0.013035,0.027991,0.014589,0.007141,0.008735,0.111963,0.056852,0.048737,0.001910,-0.004828,0.023578,0.005663,-0.006293,0.001758,0.017712,0.013012,0.010725,0.009804
2025-09-16 03:10 CT,-0.000459,0.004908,0.038445,0.005052,0.004329,0.013134,0.009608,0.003119,-0.010080,0.014832,0.048847,0.016735,0.005566,-0.011277,0.001157,0.011471,0.004667,0.015887,0.011029,-0.034734,0.008948,0.013182,0.019411,0.058566,0.004881,0.001482,0.016949,0.014059,0.014507,0.013746,0.000428,0.016137,0.011173,0.030291,0.016175,0.010844,0.009151,0.082822,0.059504,0.065480,0.003601,-0.005337,0.029820,0.007238,-0.009440,0.003246,0.020941,0.015615,0.009554,0.009395
2025-09-16 03:15 CT,-0.001267,0.004457,0.043865,0.003821,0.002575,0.013004,0.012219,-0.002317,-0.013921,0.013380,0.048847,0.016735,0.002783,-0.013459,0.000868,0.008747,0.003333,0.008225,0.010912,-0.036818,0.007243,0.011199,0.019943,0.060558,0.003138,0.000909,0.010169,0.012836,0.013518,0.016147,-0.001283,0.014933,0.009311,0.033359,0.018078,0.013224,0.008735,0.073620,0.062792,0.094495,0.003747,-0.011436,0.030513,0.007451,-0.015104,0.000812,0.022116,0.016265,0.002342,0.008987
2025-09-16 03:20 CT,-0.002305,0.003802,0.035397,0.002123,0.000411,0.011255,0.010679,-0.003653,-0.013321,0.015259,0.045455,0.014473,0.002783,-0.014187,0.000000,0.009751,0.002000,0.001127,0.010912,-0.036471,0.006817,0.010131,0.017727,0.061355,0.009066,-0.001482,0.010169,0.013447,0.013848,0.015928,-0.001283,0.013969,0.009311,0.032975,0.015858,0.012431,0.008319,0.082822,0.064913,0.115068,0.003338,-0.014485,0.035368,0.006983,-0.001888,-0.001353,0.021529,0.018217,0.008196,0.008170
2025-09-16 03:25 CT,-0.003587,0.003242,0.029808,0.001316,-0.003060,0.009951,0.011047,-0.008197,-0.011760,0.013238,0.043080,0.011759,0.001855,-0.013823,-0.000289,0.007169,0.001333,0.010704,0.008707,-0.038902,0.005965,0.007598,0.016398,0.061753,0.006160,-0.002964,0.009040,0.011410,0.012859,0.013201,-0.002566,0.011079,0.007449,0.030675,0.011418,0.010844,0.007488,0.087423,0.059504,0.120105,0.003124,-0.015756,0.036755,0.005152,-0.011957,-0.003787,0.019669,0.015615,0.007212,0.007761
2025-09-16 03:30 CT,-0.005740,0.001896,0.032264,-0.001104,-0.005038,0.008886,0.011315,-0.009267,-0.017281,0.010078,0.037653,0.005427,-0.001855,-0.013459,-0.000868,0.006596,0.000667,0.000563,0.006153,-0.044807,0.003835,0.005035,0.014714,0.058964,0.001860,-0.003738,0.006780,0.008557,0.009891,0.012874,-0.005560,0.010838,0.005587,0.029525,0.009198,0.010050,0.007072,0.082822,0.061837,0.143729,0.002839,-0.015756,0.035368,0.003875,-0.001888,-0.004869,0.017223,0.014314,0.009320,0.006127
2025-09-16 03:35 CT,-0.004654,0.002110,0.045135,-0.000042,-0.002650,0.010190,0.014261,-0.004455,-0.016321,0.010676,0.037653,0.004975,0.000000,-0.013823,-0.000289,0.009607,0.003333,0.000338,0.008591,-0.040986,0.005965,0.007628,0.016486,0.057769,0.003022,-0.001617,0.009040,0.010391,0.013518,0.013310,-0.004705,0.013728,0.005587,0.032592,0.011101,0.015604,0.009151,0.087423,0.060034,0.141600,0.003107,-0.013469,0.042996,0.006898,-0.008811,-0.003246,0.017321,0.027977,0.009414,0.008170
